Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Segment,City,Region,Sales_Rep,Channel,Category,Product_Name,Quantity,Unit_Price,Discount_%,Line_Total,COGS,Status,Customer_Rating,Return_Flag
ORD-10095,1/4/2022,1/11/2022,CID-2491,VIP,Nairobi,Central,Karen Davis,In-Store,Sports,Resistance Bands Set,7,23.16,5,154.01,101.68,Completed,5,0
ORD-15795,7/13/2023,7/18/2023,CID-1740,VIP,Ibadan,East,Liam Moore,In-Store,Home & garden,Scented Candle,6,25.06,25,112.77,91.31,Completed,NULL,0
ORD-14399,8/3/2023,8/17/2023,CID-1414,Loyalty Member,Benin City,North,Mia Scott,Online,Sports,Protein Powder 1kg,1,57.64,20,46.11,29.92,Returned,4,1
ORD-12312,6/27/2024,6/28/2024,CID-1835,VIP,Dakar,Central,Bob Smith,In-Store,Sports,Yoga Mat,10,33.42,5,317.49,156.86,Completed,NULL,0
ORD-15754,4/8/2022,4/9/2022,CID-2893,B2B,Casablanca,North,Frank Miller,Wholesale,Clothing,Sports Socks 3pk,10,14.85,25,111.38,103.73,Completed,NULL,0
ORD-11978,10/28/2024,NULL,CID-2122,B2B,Ibadan,North,NULL,Phone Order,Electronics,Webcam HD,2,77.08,25,115.62,105.27,Returned,1,1
ORD-13871,5/26/2022,6/9/2022,CID-3450,Retail,Benin City,North,Karen Davis,In-Store,Beauty,Nail Polish Kit,7,20.67,0,144.69,73.22,Completed,NULL,0
ORD-12290,7/18/2024,7/19/2024,CID-2107,New Customer,Ibadan,North,Henry Wilson,Online,Electronics,Bluetooth Speaker,3,137.2,0,411.6,257.08,Completed,2,0
ORD-14820,4/6/2022,4/8/2022,CID-1088,VIP,Johannesburg,South,Karen Davis,In-Store,Sports,Protein Powder 1kg,4,61.06,30,170.97,149.7,Completed,1,0
ORD-13589,9/20/2024,9/23/2024,CID-3338,B2B,Dakar,North,Henry Wilson,Mobile App,Home & garden,Air Purifier,7,226.19,20,1266.66,771.26,Completed,3,0
ORD-10819,3/8/2022,3/11/2022,CID-4555,Loyalty Member,Dakar,West,Bob Smith,Phone Order,Home & garden,Plant Pot Set,3,31.72,0,95.16,49.84,Returned,4,1
ORD-12707,8/30/2023,NULL,CID-2630,Retail,Kano,Central,Iris Park,In-Store,Home & garden,Coffee Maker,2,101.43,5,192.72,137.38,Completed,2,0
ORD-14608,5/25/2024,5/26/2024,CID-4018,B2B,Benin City,East,Henry Wilson,Mobile App,Electronics,Laptop Pro 15,10,1191.7,5,11321.15,5594,Completed,NULL,0
ORD-10257,8/14/2022,8/28/2022,CID-2467,B2B,NULL,North,Carol White,Online,Electronics,Portable Charger,3,39.47,0,118.41,76.92,Cancelled,5,0
ORD-14421,9/4/2022,9/5/2022,N/A,B2B,Johannesburg,South,Henry Wilson,Wholesale,Home & garden,Wall Clock,9,42.19,15,322.75,258.32,Completed,2,0
ORD-14435,1/31/2022,2/2/2022,CID-1795,B2B,Kano,East,Karen Davis,Wholesale,Electronics,Bluetooth Speaker,6,133.22,25,599.49,459.71,Cancelled,5,0
ORD-14104,7/25/2024,NULL,CID-4513,Loyalty Member,Addis Ababa,West,Olivia Clark,In-Store,Electronics,Laptop Pro 15,8,1212.23,20,7758.27,5411.87,Completed,4,0
ORD-12201,10/18/2024,11/1/2024,CID-3142,Loyalty Member,Accra,South,Henry Wilson,In-Store,Electronics,Webcam HD,8,73.99,15,503.13,409.83,Disputed,3,0
ORD-12274,5/24/2024,5/31/2024,CID-1483,VIP,Enugu,South,Bob Smith,Mobile App,Beauty,Face Serum,7,61.4,20,343.84,239.58,Pending,4,0
ORD-12335,8/20/2024,9/3/2024,CID-4415,B2B,Abuja,North,Carol White,Online,Clothing,Formal Dress,1,106.35,0,106.35,54.86,Completed,NULL,0
ORD-13916,7/9/2022,7/16/2022,CID-1856,VIP,Johannesburg,East,Frank Miller,In-Store,Clothing,Running Shoes,2,105.66,0,211.32,124.1,Completed,3,0
ORD-14020,11/8/2023,11/13/2023,CID-1837,B2B,Lagos,Central,Bob Smith,In-Store,Sports,Protein Powder 1kg,10,46.9,5,445.55,212.95,Pending,4,0
ORD-13552,5/2/2022,NULL,CID-1502,Retail,Casablanca,North,Mia Scott,Phone Order,Electronics,Smart Watch,5,244.08,25,915.3,582.91,Completed,NULL,0
ORD-12635,5/24/2024,5/26/2024,CID-3393,VIP,Accra,East,Nathan Harris,In-Store,Beauty,Perfume 50ml,1,64.17,20,51.34,32.49,Returned,5,1
ORD-10566,10/11/2024,10/18/2024,CID-1467,Loyalty Member,Dakar,Central,Bob Smith,Phone Order,Sports,Jump Rope,3,15.3,25,34.43,29.52,Completed,5,0
ORD-12363,11/7/2024,NULL,CID-4696,Loyalty Member,Accra,South,Alice Johnson,Phone Order,Electronics,USB-C Hub,5,39.55,0,197.75,116.29,Completed,4,0
ORD-12054,7/11/2022,7/25/2022,CID-4307,B2B,Casablanca,South,Olivia Clark,In-Store,Beauty,Face Serum,5,51.94,0,259.7,146.93,Returned,3,1
ORD-14263,12/19/2024,NULL,CID-2298,Retail,Nairobi,Central,David Lee,Phone Order,Sports,Resistance Bands Set,5,26.32,10,118.44,74.13,Cancelled,5,0
ORD-11164,10/2/2023,10/3/2023,CID-3616,VIP,Kano,Central,Mia Scott,Wholesale,Electronics,Wireless Earbuds,6,99.39,25,447.25,283.72,Pending,4,0
ORD-12044,11/19/2023,11/20/2023,CID-3218,B2B,Nairobi,South,Emma Brown,In-Store,Beauty,Electric Toothbrush,5,74.91,0,374.55,202.51,Completed,1,0
ORD-10082,12/26/2023,NULL,CID-4988,B2B,Addis Ababa,Central,Olivia Clark,Mobile App,Home & garden,Coffee Maker,6,104.41,5,595.14,386.36,Completed,4,0
ORD-11079,2/5/2024,2/7/2024,CID-1995,B2B,Dakar,North,Bob Smith,Online,Beauty,Lipstick Set,8,47.35,0,378.8,192.57,Pending,NULL,0
ORD-15172,5/17/2023,5/22/2023,CID-3518,VIP,Kano,North,Mia Scott,Online,Home & garden,Smart Plug 4pk,7,39.29,10,247.53,143.56,Completed,NULL,0
ORD-11791,4/22/2023,4/29/2023,CID-1952,Retail,Ibadan,Central,Liam Moore,Online,Home & garden,Coffee Maker,10,95.51,25,716.33,582.75,Completed,4,0
ORD-15261,8/24/2024,8/26/2024,CID-4135,Loyalty Member,Dakar,North,Karen Davis,Mobile App,Sports,Swim Goggles,4,28.3,0,113.2,66.91,Cancelled,3,0
ORD-10032,11/5/2024,11/6/2024,CID-3494,VIP,Casablanca,East,Nathan Harris,Phone Order,Clothing,Formal Dress,1,136.99,10,123.29,87.74,Completed,3,0
ORD-10698,12/6/2024,NULL,CID-1612,Loyalty Member,Nairobi,West,Bob Smith,Mobile App,Beauty,Nail Polish Kit,5,19.75,30,69.12,66,Completed,2,0
ORD-11516,2/23/2022,2/26/2022,CID-3418,Retail,Dakar,North,Grace Chen,Wholesale,Beauty,Shampoo & Conditioner,4,29.49,25,88.47,79.25,Pending,5,0
ORD-10659,3/6/2024,3/9/2024,CID-3426,VIP,Addis Ababa,South,Carol White,In-Store,Clothing,Winter Jacket,9,156.49,0,1408.41,967.51,Completed,NULL,0
ORD-12585,9/4/2024,9/9/2024,CID-2306,Retail,Kano,North,Iris Park,Online,Clothing,Winter Jacket,1,133.15,5,126.49,79.41,Cancelled,5,0
ORD-13057,3/29/2023,3/31/2023,CID-4653,B2B,Ibadan,West,NULL,In-Store,Sports,Jump Rope,8,13.18,0,105.44,69.73,Completed,2,0
ORD-11394,7/5/2022,7/7/2022,CID-2442,Loyalty Member,Casablanca,East,James Turner,Wholesale,Electronics,USB-C Hub,10,40.74,5,387.03,219.13,Completed,NULL,0
ORD-14869,3/27/2024,3/30/2024,CID-4639,Retail,Port Harcourt,East,Mia Scott,Wholesale,Sports,Gym Bag,5,69.98,15,297.42,238.53,Completed,4,0
ORD-10050,12/4/2022,12/9/2022,CID-4795,New Customer,Ibadan,North,Grace Chen,Wholesale,Beauty,Eye Cream,8,72.11,5,548.04,389.75,Cancelled,5,0
ORD-14540,7/20/2022,7/27/2022,CID-2828,B2B,Abuja,South,Carol White,Mobile App,Clothing,Winter Jacket,2,162.47,5,308.69,174,Completed,5,0
ORD-15435,1/18/2024,NULL,CID-4432,Retail,Unknown,North,Mia Scott,PHONE ORDER,Electronics,Mechanical Keyboard,1,140.59,25,105.44,71.75,Completed,4,0
ORD-12350,10/19/2023,10/24/2023,CID-2144,Retail,Kano,South,NULL,Phone Order,Electronics,Smart Watch,1,261.99,15,222.69,147.6,Pending,4,0
ORD-14004,8/23/2024,8/24/2024,CID-4779,B2B,Abuja,Central,Grace Chen,Online,Sports,Gym Bag,4,71.73,15,243.88,174.16,Completed,NULL,0
ORD-13929,2/10/2023,2/15/2023,CID-3904,New Customer,Port Harcourt,Central,Frank Miller,Wholesale,Beauty,Shampoo & Conditioner,8,31.43,0,251.44,125.62,Completed,NULL,0
ORD-11698,1/26/2024,1/27/2024,CID-1234,Loyalty Member,Dakar,Central,James Turner,In-Store,Home & garden,Desk Lamp,3,42.42,25,95.45,68.18,Completed,1,0
ORD-13557,9/28/2024,NULL,CID-3229,Retail,Casablanca,West,Iris Park,Online,Clothing,Women's Blazer,8,83.02,20,531.33,455.48,Completed,5,0
ORD-14660,12/23/2022,NULL,CID-4450,Retail,Cairo,East,Nathan Harris,Wholesale,Clothing,Casual Sneakers,3,71.97,30,151.14,148.22,Completed,NULL,0
ORD-11101,1/14/2023,NULL,CID-3480,B2B,NULL,Central,James Turner,Wholesale,Home & garden,Wall Clock,5,41.18,0,205.9,98.15,Completed,4,0
ORD-12315,11/6/2024,NULL,CID-4849,Loyalty Member,Lagos,Central,Liam Moore,Wholesale,Sports,Yoga Mat,2,38.23,5,72.64,44.17,Completed,NULL,0
ORD-10644,4/8/2024,NULL,CID-2023,Retail,Casablanca,West,Iris Park,Phone Order,Beauty,Face Serum,5,63.57,10,286.07,156.85,Completed,3,0
ORD-12152,10/10/2022,10/17/2022,CID-2307,Loyalty Member,Addis Ababa,West,Bob Smith,In-Store,Electronics,Portable Charger,6,36.31,20,174.29,107.31,Pending,5,0
ORD-12291,4/1/2022,4/3/2022,CID-3703,Retail,Cairo,South,NULL,IN-STORE,Home & garden,Scented Candle,8,24.39,0,195.12,106.57,Completed,NULL,0
ORD-13315,4/13/2024,NULL,CID-4652,B2B,Kano,Central,Liam Moore,Phone Order,Beauty,Nail Polish Kit,7,19.77,0,138.39,79.6,Completed,1,0
ORD-11292,8/29/2024,9/3/2024,CID-1221,VIP,Kano,South,Carol White,Online,Clothing,Winter Jacket,1,128.15,5,121.74,62.45,Completed,5,0
ORD-14388,3/4/2024,3/7/2024,CID-2130,Loyalty Member,Addis Ababa,West,Carol White,In-Store,Clothing,Casual Sneakers,8,80.23,0,641.84,424.79,Disputed,5,0
ORD-13268,11/12/2023,11/19/2023,CID-1180,B2B,Port Harcourt,South,Nathan Harris,In-Store,Sports,Resistance Bands Set,6,25.28,30,106.18,78.1,Completed,4,0
ORD-13601,1/24/2022,1/31/2022,CID-2062,New Customer,Benin City,South,Alice Johnson,Online,Sports,Water Bottle 1L,10,25.12,25,188.4,136.51,Completed,5,0
ORD-15713,8/17/2022,NULL,CID-3452,Retail,Addis Ababa,West,Henry Wilson,Phone Order,Home & garden,Smart Plug 4pk,2,43.34,15,73.68,48.45,Completed,1,0
ORD-11376,6/13/2023,6/27/2023,CID-2528,Loyalty Member,Lagos,West,Liam Moore,Online,Beauty,Shampoo & Conditioner,10,28.68,15,243.78,169.61,Completed,4,0
ORD-15055,5/21/2023,5/28/2023,CID-1138,Retail,Kano,Central,Emma Brown,Phone Order,Electronics,Smart Watch,6,220.14,0,1320.84,850.64,Returned,4,1
ORD-15897,2/3/2023,NULL,CID-3074,Retail,Lagos,South,Iris Park,Phone Order,Beauty,Face Mask Pack,5,15.92,10,71.64,35.99,Completed,5,0
ORD-11671,3/5/2023,3/6/2023,CID-1454,Loyalty Member,Accra,South,Nathan Harris,Mobile App,Beauty,Nail Polish Kit,1,19.96,10,17.96,12.5,Pending,5,0
ORD-11084,7/10/2023,7/11/2023,CID-1272,VIP,Cairo,West,Karen Davis,Online,Sports,Yoga Mat,5,30.38,0,151.9,75.98,Completed,5,0
ORD-13117,3/29/2024,4/3/2024,CID-1332,Loyalty Member,Benin City,Central,Frank Miller,Wholesale,Beauty,Lipstick Set,2,42.07,30,58.9,46.54,Completed,2,0
ORD-11247,2/15/2023,2/22/2023,CID-1444,New Customer,Kano,West,Carol White,Mobile App,Home & garden,Plant Pot Set,3,26.12,25,58.77,54.45,Completed,NULL,0
ORD-11120,9/23/2023,9/26/2023,CID-1481,B2B,Lagos,West,Emma Brown,In-Store,Clothing,Running Shoes,3,118.88,0,356.64,165.06,Pending,NULL,0
ORD-10091,6/19/2023,6/21/2023,CID-1444,VIP,Johannesburg,Central,Emma Brown,Online,Sports,Gym Bag,9,79.22,15,606.03,341.4,Completed,NULL,0
ORD-13415,2/3/2022,2/5/2022,CID-4485,Retail,Nairobi,South,Olivia Clark,Online,Sports,Jump Rope,4,15.56,20,49.79,36.44,Completed,4,0
ORD-13605,4/5/2024,4/6/2024,CID-3092,Loyalty Member,Ibadan,North,Olivia Clark,In-Store,Electronics,Smart Watch,4,253.74,20,811.97,532.74,Pending,3,0
ORD-10560,1/10/2023,1/13/2023,CID-2713,Loyalty Member,Kaduna,South,Iris Park,Mobile App,Sports,Resistance Bands Set,3,22.13,15,56.43,34.94,Completed,NULL,0
ORD-15953,1/11/2023,NULL,CID-2920,B2B,Enugu,East,Carol White,Phone Order,Sports,Gym Bag,10,65.32,0,653.2,433.34,Completed,5,0
ORD-14818,7/31/2024,8/5/2024,CID-3673,B2B,Benin City,Central,Nathan Harris,Phone Order,Clothing,Sports Socks 3pk,4,16.42,0,65.68,44.9,Completed,5,0
ORD-12909,6/11/2022,6/14/2022,N/A,Loyalty Member,Port Harcourt,West,Mia Scott,In-Store,Clothing,Winter Jacket,1,151.6,0,151.6,97.11,Completed,NULL,0
ORD-12196,11/10/2023,11/15/2023,CID-2266,Loyalty Member,Accra,Central,Grace Chen,Wholesale,Sports,Swim Goggles,9,26.03,0,234.27,145.19,Completed,5,0
ORD-10765,7/4/2023,7/18/2023,CID-1749,New Customer,Benin City,North,Frank Miller,Wholesale,Electronics,Laptop Pro 15,3,1138.32,0,3414.96,2300.43,Completed,4,0
ORD-11283,12/7/2024,12/12/2024,CID-3500,Loyalty Member,Port Harcourt,West,David Lee,In-Store,Home & garden,Scented Candle,8,20.06,0,160.48,97.89,Returned,5,1
ORD-11741,3/20/2022,3/27/2022,CID-3765,VIP,Johannesburg,South,Frank Miller,In-Store,Sports,Resistance Bands Set,5,21.99,5,104.45,51.44,Completed,NULL,0
ORD-11725,4/20/2022,5/4/2022,CID-4487,Loyalty Member,Addis Ababa,East,NULL,In-Store,Sports,Water Bottle 1L,9,23.91,10,193.67,114.46,Completed,5,0
ORD-10601,1/10/2024,1/13/2024,CID-2723,B2B,Casablanca,South,Grace Chen,Phone Order,Clothing,Formal Dress,10,121.02,0,1210.2,840.39,Completed,5,0
ORD-13496,6/4/2022,6/18/2022,CID-3255,B2B,Enugu,East,NULL,PHONE ORDER,Clothing,Casual Sneakers,3,85.59,0,256.77,166.86,Completed,5,0
ORD-12801,3/31/2022,4/7/2022,CID-4520,B2B,NULL,North,Carol White,Wholesale,Sports,Yoga Mat,9,37.82,5,323.36,214.86,Disputed,5,0
ORD-13376,11/17/2023,NULL,CID-2536,Loyalty Member,Cairo,North,Alice Johnson,Online,Beauty,Electric Toothbrush,2,89.29,0,178.58,116.72,Completed,4,0
ORD-11382,9/20/2024,9/25/2024,CID-1419,Loyalty Member,Kano,East,Olivia Clark,In-Store,Sports,Foam Roller,3,33.86,0,101.58,52.86,Completed,4,0
ORD-15085,9/23/2024,10/7/2024,CID-3391,Loyalty Member,Ibadan,North,Olivia Clark,Mobile App,Beauty,Perfume 50ml,2,66.88,0,133.76,72.34,Completed,NULL,0
ORD-14508,5/29/2024,5/30/2024,CID-3943,New Customer,Cairo,South,Nathan Harris,Mobile App,Beauty,Electric Toothbrush,6,79.86,0,479.16,308.15,Completed,NULL,0
ORD-13281,6/20/2023,6/22/2023,CID-1363,Loyalty Member,Ibadan,West,Frank Miller,Wholesale,Beauty,Eye Cream,1,66.93,0,66.93,30.17,Completed,NULL,0
ORD-14486,11/26/2023,11/29/2023,CID-4483,Retail,Kano,East,Carol White,Mobile App,Beauty,Face Serum,8,59.66,30,334.1,270.07,Completed,NULL,0
ORD-11399,2/17/2024,2/22/2024,CID-2669,VIP,Abuja,South,Iris Park,In-Store,Sports,Protein Powder 1kg,8,49.73,0,397.84,214.32,Completed,5,0
ORD-15002,7/31/2022,8/3/2022,CID-4025,B2B,Lagos,North,Emma Brown,Wholesale,Electronics,Portable Charger,3,37.87,0,113.61,64.77,Completed,2,0
ORD-11439,6/4/2022,NULL,CID-2086,Loyalty Member,Kaduna,Central,David Lee,Wholesale,Home & garden,Scented Candle,4,22.89,25,68.67,63.5,Completed,4,0
ORD-13653,1/5/2023,1/6/2023,CID-3854,Retail,Unknown,West,Frank Miller,In-Store,Home & garden,Smart Plug 4pk,1,35.49,0,35.49,17.17,Pending,2,0
ORD-11421,5/31/2024,6/1/2024,CID-4493,New Customer,Lagos,West,Henry Wilson,Wholesale,Sports,Foam Roller,9,32.5,30,204.75,187.49,Completed,1,0
ORD-15697,12/4/2022,12/18/2022,CID-4113,Loyalty Member,Kano,Central,Olivia Clark,Online,Clothing,Sports Socks 3pk,9,16.68,0,150.12,73.52,Returned,3,1
ORD-12918,2/22/2022,3/8/2022,CID-2620,Loyalty Member,Dakar,West,Karen Davis,Wholesale,Beauty,Nail Polish Kit,3,21.99,15,56.07,35.87,Completed,NULL,0
ORD-13173,4/4/2024,4/6/2024,CID-3611,Loyalty Member,Johannesburg,South,David Lee,Phone Order,Electronics,Bluetooth Speaker,7,105.73,20,592.09,427.86,Completed,2,0
ORD-13981,1/3/2023,1/6/2023,CID-3166,New Customer,Cairo,East,Bob Smith,In-Store,Home & garden,Throw Pillow Set,1,56.54,15,48.06,35.61,Completed,4,0
ORD-11139,3/11/2023,3/12/2023,CID-2042,VIP,Ibadan,South,Liam Moore,Wholesale,Beauty,Shampoo & Conditioner,4,27.28,20,87.3,58.21,Cancelled,NULL,0
ORD-11503,3/26/2022,4/2/2022,CID-3063,VIP,Addis Ababa,South,Emma Brown,In-Store,Sports,Gym Bag,5,73.6,20,294.4,177.77,Completed,5,0
ORD-12108,9/1/2023,9/3/2023,CID-3974,New Customer,Casablanca,Central,Nathan Harris,In-Store,Clothing,Formal Dress,6,110.63,0,663.78,447.7,Cancelled,4,0
ORD-13641,3/27/2022,4/3/2022,CID-4548,Loyalty Member,Port Harcourt,Central,Olivia Clark,Online,Beauty,Shampoo & Conditioner,9,29.68,0,267.12,159.91,Completed,2,0
ORD-10948,10/8/2023,10/13/2023,CID-3010,Loyalty Member,Ibadan,Central,Nathan Harris,Wholesale,Sports,Yoga Mat,9,38.65,0,347.85,188.81,Completed,5,0
ORD-10871,10/27/2022,11/10/2022,CID-1896,B2B,Abuja,West,Frank Miller,Online,Clothing,Formal Dress,3,122.39,0,367.17,217.16,Returned,4,1
ORD-14845,4/1/2023,4/8/2023,CID-1415,B2B,Johannesburg,East,Olivia Clark,Mobile App,Clothing,Running Shoes,7,103.29,20,578.42,348.42,Completed,NULL,0
ORD-14641,11/12/2022,11/17/2022,CID-4164,New Customer,Abuja,East,Olivia Clark,In-Store,Sports,Resistance Bands Set,10,28.23,30,197.61,161.65,Cancelled,5,0
ORD-13259,7/8/2024,7/13/2024,CID-2143,Loyalty Member,Kano,South,James Turner,Mobile App,Beauty,Lipstick Set,10,44.02,30,308.14,221.82,Completed,1,0
ORD-14996,4/10/2024,4/24/2024,CID-2233,New Customer,Dakar,Central,Frank Miller,Mobile App,Beauty,Shampoo & Conditioner,9,24.62,25,166.19,133.79,Completed,1,0
ORD-12300,3/21/2022,3/28/2022,CID-3700,Loyalty Member,Lagos,East,Frank Miller,Wholesale,Home & garden,Air Purifier,4,186.81,30,523.07,442.94,Completed,2,0
ORD-15347,2/17/2022,2/22/2022,CID-1742,B2B,Kaduna,Central,NULL,In-Store,Sports,Gym Bag,1,65.28,25,48.96,38.7,Completed,NULL,0
ORD-11969,9/4/2022,9/5/2022,CID-1790,Retail,Abuja,Central,Olivia Clark,In-Store,Home & garden,Throw Pillow Set,10,48.19,20,385.52,229.67,Returned,NULL,1
ORD-13676,8/1/2022,8/2/2022,CID-1378,Loyalty Member,Dakar,South,Emma Brown,Online,Home & garden,Scented Candle,3,22.75,15,58.01,37.37,Completed,4,0
ORD-15103,1/29/2023,2/5/2023,CID-4564,B2B,Port Harcourt,North,Bob Smith,Wholesale,Beauty,Lipstick Set,9,35.8,0,322.2,177.83,Cancelled,4,0
ORD-13180,8/24/2023,8/25/2023,CID-3723,B2B,Johannesburg,North,Alice Johnson,WHOLESALE,Sports,Yoga Mat,6,33.03,5,188.27,129.92,Disputed,4,0
ORD-13104,7/2/2023,7/4/2023,CID-1381,VIP,Kaduna,South,Mia Scott,In-Store,Sports,Resistance Bands Set,3,23.73,20,56.95,44.75,Completed,NULL,0
ORD-12010,5/20/2024,5/22/2024,CID-2426,VIP,Addis Ababa,East,James Turner,Wholesale,Clothing,Running Shoes,7,104.55,30,512.29,362.52,Pending,NULL,0
ORD-13861,9/29/2023,NULL,CID-3104,New Customer,Port Harcourt,North,Karen Davis,Online,Sports,Swim Goggles,3,26.12,30,54.85,54.1,Completed,1,0
ORD-10326,1/6/2023,NULL,CID-3953,New Customer,NULL,Central,NULL,In-Store,Electronics,Bluetooth Speaker,10,123.5,0,1235,603.38,Completed,NULL,0
ORD-12448,2/4/2022,2/7/2022,CID-4709,VIP,Accra,East,Olivia Clark,In-Store,Home & garden,Air Purifier,9,227.86,10,1845.67,1022.39,Disputed,1,0
ORD-13097,3/28/2024,4/2/2024,CID-2897,Retail,Kano,West,Frank Miller,In-Store,Clothing,Running Shoes,1,123.32,5,117.15,63.29,Completed,3,0
ORD-13988,9/18/2023,9/25/2023,CID-4801,B2B,Casablanca,North,Grace Chen,Phone Order,Home & garden,Throw Pillow Set,5,59.71,10,268.69,193.44,Completed,NULL,0
ORD-10441,2/5/2024,2/10/2024,CID-4102,B2B,NULL,Central,Olivia Clark,Mobile App,Clothing,Running Shoes,8,108.51,0,868.08,605.23,Completed,NULL,0
ORD-14406,4/9/2024,4/12/2024,CID-4344,Retail,Port Harcourt,North,Frank Miller,Online,Electronics,Portable Charger,10,39.43,20,315.44,275.33,Completed,2,0
ORD-12884,7/23/2023,7/25/2023,CID-3964,New Customer,Dakar,South,Henry Wilson,Phone Order,Clothing,Men's Polo Shirt,8,31.41,20,201.02,165.2,Completed,NULL,0
ORD-13022,12/1/2023,12/4/2023,CID-4765,New Customer,Accra,Central,James Turner,Wholesale,Home & garden,Scented Candle,5,22.99,25,86.21,80.08,Completed,5,0
ORD-14156,4/30/2023,5/1/2023,CID-4228,Retail,Lagos,South,Olivia Clark,Mobile App,Sports,Swim Goggles,5,28.45,0,142.25,78.81,Completed,1,0
ORD-12854,3/6/2022,3/8/2022,CID-1078,B2B,Addis Ababa,Central,NULL,PHONE ORDER,Home & garden,Coffee Maker,5,103.73,25,388.99,276.56,Completed,NULL,0
ORD-12933,10/5/2024,10/6/2024,CID-1164,Retail,Kano,West,Iris Park,Online,Home & garden,Smart Plug 4pk,7,34.23,20,191.69,153.68,Completed,4,0
ORD-13624,6/28/2024,6/29/2024,CID-1418,B2B,Addis Ababa,South,Iris Park,Wholesale,Beauty,Face Serum,5,58.2,25,218.25,141.99,Completed,5,0
ORD-15138,6/13/2022,6/18/2022,CID-3949,B2B,Dakar,South,Emma Brown,Online,Clothing,Denim Jeans,5,55.34,30,193.69,126.72,Completed,5,0
ORD-10414,8/14/2022,8/16/2022,CID-2715,B2B,Kaduna,North,Henry Wilson,Wholesale,Sports,Gym Bag,3,60.16,5,171.46,124,Completed,NULL,0
ORD-12146,9/6/2022,NULL,CID-1119,Retail,Port Harcourt,East,James Turner,Online,Sports,Yoga Mat,7,37.06,10,233.48,146.22,Completed,NULL,0
ORD-14593,5/23/2022,5/28/2022,CID-1409,New Customer,Lagos,East,Nathan Harris,Wholesale,Sports,Jump Rope,3,16.43,0,49.29,33.02,Completed,NULL,0
ORD-15214,11/7/2022,11/8/2022,CID-2196,VIP,Port Harcourt,North,Olivia Clark,Phone Order,Clothing,Men's Polo Shirt,2,40.13,0,80.26,53.84,Completed,NULL,0
